id_lieu|nom_lieu|settlement|desc_lieu|type_lieu|list_lieu|level1|level2
id_15474|DICCIONARIO||"
 DICCIONARIO 
GEOGRAFICO-HISTORICO 
DE LAS INDIAS OCCIDENTALES 
O AMERICA: 
ES A SABER: 
DE LOS REYNOS DEL Perú, Nueva España, Tierra Firme, Chile, y Nuevo Reyno de Granada. CON LA DESCRIPCION 
de sus Provincias, Naciones, Ciudades, Villas, Pueblos, Ríos, Montes, Costas, Puertos, Islas, Arzobispados, Obispados, Audiencias, Vireynatos, Gobiernos, Corregimientos, y Fortalezas, frutos y producciones; con expresión de sus Descubridores, Conquistadores y Fundadores: Conventos y Religiones: erección de sus Catedrales y Obispos que ha habido en ellas: 
Y NOTICIA 
de los sucesos mas notables de varios lugares: incendios, terremotos, sitios, é invasiones que han experimentado: y hombres ilustres que han producido.
ESCRITO 
por el Coronel D. Antonio de Alcedo, Capitán de Reales Guardias Españolas.
 tomo V. 
CON LICENCIA: 
MADRID EN LA IMPRENTA DE MANUEL GONZALEZ. 
MDCCLXXXIX. 
"|Perú|"[<placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Nuevo Reyno de Granada|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSF0000'}""]"
id_15475|TABAA||"
 TABAA, Pueblo y Cabeza de partido de la Alcaldía mayor de Villalta  en Nueva España, es de temperamento cálido, tiene 219 familias de Indios dedicados al cultivo de la grana, y está 3 leguas al Poniente de la Capital. "|Pueblo|"[<placename><rolename type=""alcaldia_mayor"">Alcaldía mayor</rolename> de <district key=""JUNEOAVA"">Villalta </district></placename>, <placename><district key=""SUNE0000"">Nueva España</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Alcaldía mayor|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'alcaldia_mayor'}"", ""Villalta |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUNEOAVA'}"", ""Nueva España|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUNE0000'}""]"
id_15476|TABACONES||"
 TABACONES, Pueblo de la Provincia y Gobierno de  Jaén de Bracamoros  en el Reyno de Quito, situado al lado de una montaña muy alta. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <rolename type=""gobernacion"">Gobierno</rolename> de <district key=""PRQUJA00""> Jaén de Bracamoros </district></placename>, <placename><district key=""AUQU0000"">Reyno de Quito</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Gobierno|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'gobernacion'}"", "" Jaén de Bracamoros |{http://www.tei-c.org/ns/1.0}district|{'key': 'PRQUJA00'}"", ""Reyno de Quito|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUQU0000'}""]"
id_15477|TABACUNDO||"
 TABACUNDO, Pueblo de la Provincia y Corregimiento de Otavalo  en el Reyno de Quito. "|Pueblo|"[<placename><rolename type=""province"">Provincia</rolename> y <district key=""JUQUOTOT"">Corregimiento de Otavalo </district></placename>, <placename><district key=""AUQU0000"">Reyno de Quito</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Corregimiento de Otavalo |{http://www.tei-c.org/ns/1.0}district|{'key': 'JUQUOTOT'}"", ""Reyno de Quito|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUQU0000'}""]"
id_15478|TABAGE||"
 TABAGE, Pueblo grande de Indios Salivas con la advocación do nuestra Señora, fundado el año de 1682 por los Misioneros Regulares de la extinguida Compañía cerca de la boca del rio Sinaruco, en las llanuras del Orinoco y Nuevo Reyno de Granada, los Caribes lo destruyeron y quemaron enteramente dos años después. "|Pueblo|"[<placename><district key=""AUSF0000"">Nuevo Reyno de Granada</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Nuevo Reyno de Granada|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUSF0000'}""]"
id_15479|TABACO||"
 TABACO, Isla de la mar del Norte, una de las Antilles menores ó de las Caribes, situada al N de la de la Trinidad, tiene 8 leguas de largo y casi otras tantas de ancho, la poseían los Holandeses que establecieron una Colonia en ella el año de 1632 con el nombre de Nueva Walcheren, pero los Franceses mandados por el Mariscal de Estrees los desalojaron el de 1677, y se quedaron con ella por el tratado de Nimega: luego la abandonaron, y los Ingleses empezaron á cultivarla; pero también la dexaron por las continuas incursiones que padecía de los Indios Caribes de Tierra-Firme que habitan en las bocas del Orinoco; y sin embargo de su fertilidad y buen clima ha quedado desde entonces inculta y desierta: dista 22 millas de la de la Trinidad y 124 al Mediodía de la Baibada: está en 1 1 gr. 36 min. de lat. bor. "|Isla|[]|[]|[]
id_15480|TABAGUILLO||"
 TABAGUILLO, Islote pequeño de la mar del Norte que está junto á la de Tabago. "|Islote|[]|[]|[]
id_15481| TABAJE, Raudal de)||"
 TABAJE, Raudal de) Angostura en que se estrecha el rio Orinoco, y hace difícil y peligrosa la navegación, siendo preciso pasar á fuerza de cuerda las embarcaciones, está 12 leguas del rio Meta. "|Raudal|[]|[]|[]
id_15482|TABALA||"
 TABALA, Rio de la Provincia y Alcaldía mayor de Culiacán en Nueva España. TABALOSOS, Pueblo de la Provincia y Corregimiento de Lamas  en el Perú. "|Rio|"[<placename><rolename type=""province"">Provincia</rolename> y <rolename type=""alcaldia_mayor"">Alcaldía mayor</rolename> de <district key=""JUGDSSCU"">Culiacán</district></placename>, <placename><district key=""SUNE0000"">Nueva España</district></placename>, <placename><rolename type=""province"">Provincia</rolename> y <district key=""PTPETRLA"">Corregimiento de Lamas </district></placename>, <placename><district key=""SUPE0000"">el Perú</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}', 'None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Alcaldía mayor|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'alcaldia_mayor'}"", ""Culiacán|{http://www.tei-c.org/ns/1.0}district|{'key': 'JUGDSSCU'}"", ""Nueva España|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUNE0000'}"", ""Provincia|{http://www.tei-c.org/ns/1.0}roleName|{'type': 'province'}"", ""Corregimiento de Lamas |{http://www.tei-c.org/ns/1.0}district|{'key': 'PTPETRLA'}"", ""el Perú|{http://www.tei-c.org/ns/1.0}district|{'key': 'SUPE0000'}""]"
id_15483|TABANCARAS||"
 TABANCARAS, Provincia antigua del Perú á la parte del N, confinante con el rio Maranon y con la Provincia de Jaén en el Reyno de Quito, está poco conocida por sus bosques, lagunas, rios y pantanos que la hacen impenetrable. "|Provincia|"[<placename><district key=""AUQU0000"">Reyno de Quito</district></placename>]"|"['None|{http://www.tei-c.org/ns/1.0}placeName|{}']"|"[""Reyno de Quito|{http://www.tei-c.org/ns/1.0}district|{'key': 'AUQU0000'}""]"
